,obsid,species,duration,duration_seconds,attempts,Rinter,Rintra,Iinter,Iintra,Successes,Ind_Rinter,Ind_Rintra,Ind_Iinter,Ind_Iintra,Ind_Successes
1,001023Tin,Phleg,4:00:00,14400,4,0,0,0,0,3,FALSE,FALSE,FALSE,FALSE,TRUE
2,001023Tina,Phleg,4:00:00,14400,4,0,0,0,0,3,FALSE,FALSE,FALSE,FALSE,TRUE
3,001026Izua,M. fort,3:00:00,10800,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
4,001026Izua,M. fort,3:00:00,10800,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
5,001026Smaa,Phleg,4:00:00,14400,3,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
6,001102Izua,G. sal,3:04:00,11040,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
7,001102Tita,D. mer,4:00:00,14400,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
8,001104Riv,M. fort,2:50:00,10200,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
9,001108Izu,Rheg,3:50:00,13800,2,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,TRUE
10,001108Tita,Rheg,4:00:00,14400,3,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
11,001110Cada,D. mer,4:00:00,14400,1,0,0,0,1,0,FALSE,FALSE,FALSE,TRUE,FALSE
12,001114Lab,Rheg,4:00:00,14400,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
13,001117Izu,G. sal,4:00:00,14400,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
14,001118Tin,G. sal,4:00:00,14400,4,0,0,0,0,3,FALSE,FALSE,FALSE,FALSE,TRUE
15,001124Izu,G. sal,2:50:00,10200,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
16,001125Lab,Phleg,3:00:00,10800,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
17,001125Lab,Phleg,3:00:00,10800,3,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
