"","X","obsid","species","duration","duration_minutes","duration_seconds","attempts","Rinter","Rintra","Iinter","Iintra","Successes","Ind_Rinter","Ind_Rintra","Ind_Iinter","Ind_Iintra","Ind_Successes"
"1",1,"001023Tin","Phleg","4:00:00",4,240,4,0,0,0,0,3,FALSE,FALSE,FALSE,FALSE,TRUE
"2",2,"001023Tina","Phleg","4:00:00",4,240,4,0,0,0,0,3,FALSE,FALSE,FALSE,FALSE,TRUE
"3",3,"001026Izua","M. fort","3:00:00",3,180,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"4",4,"001026Izua","M. fort","3:00:00",3,180,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"5",5,"001026Smaa","Phleg","4:00:00",4,240,3,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"6",6,"001102Izua","G. sal","3:04:00",3.06666666666667,184,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"7",7,"001102Tita","D. mer","4:00:00",4,240,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"8",8,"001104Riv","M. fort","2:50:00",2.83333333333333,170,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"9",9,"001108Izu","Rheg","3:50:00",3.83333333333333,230,2,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,TRUE
"10",10,"001108Tita","Rheg","4:00:00",4,240,3,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"11",11,"001110Cada","D. mer","4:00:00",4,240,1,0,0,0,1,0,FALSE,FALSE,FALSE,TRUE,FALSE
"12",12,"001114Lab","Rheg","4:00:00",4,240,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"13",13,"001117Izu","G. sal","4:00:00",4,240,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"14",14,"001118Tin","G. sal","4:00:00",4,240,4,0,0,0,0,3,FALSE,FALSE,FALSE,FALSE,TRUE
"15",15,"001124Izu","G. sal","2:50:00",2.83333333333333,170,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"16",16,"001125Lab","Phleg","3:00:00",3,180,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"17",17,"001125Lab","Phleg","3:00:00",3,180,3,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"18",18,"001125Lab","Phleg","3:00:00",3,180,3,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"19",19,"001125Lab","Phleg","4:00:00",4,240,4,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"20",20,"001125Lab","D. mer","3:45:00",3.75,225,5,0,0,0,0,4,FALSE,FALSE,FALSE,FALSE,TRUE
"21",21,"001127Edwa","Rheg","1:20:00",1.33333333333333,80,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"22",22,"001127Edwa","Rheg","4:00:00",4,240,2,0,1,0,0,1,FALSE,TRUE,FALSE,FALSE,TRUE
"23",23,"001128Edw","G. sal","1:20:00",1.33333333333333,80,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"24",24,"001128Edw","G. sal","3:50:00",3.83333333333333,230,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"25",25,"001128Edw","Phleg","1:50:00",1.83333333333333,110,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"26",26,"001128Edw","G. sal","1:55:00",1.91666666666667,115,3,2,0,0,0,1,TRUE,FALSE,FALSE,FALSE,TRUE
"27",27,"001128Edw","Rheg","4:00:00",4,240,6,0,0,0,0,5,FALSE,FALSE,FALSE,FALSE,TRUE
"28",28,"001128Edwa","Rheg","1:00:00",1,60,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"29",29,"001128Lab","M. fort","1:30:00",1.5,90,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"30",30,"001128Lab","M. fort","4:00:00",4,240,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"31",31,"001128Lab","G. sal","4:00:00",4,240,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"32",32,"001128Lab","M. fort","2:00:00",2,120,3,0,1,0,0,3,FALSE,TRUE,FALSE,FALSE,TRUE
"33",33,"001129Lab","G. sal","3:00:00",3,180,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"34",34,"001129Lab","G. sal","4:00:00",4,240,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"35",35,"001129Lab","Rheg","3:20:00",3.33333333333333,200,3,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
