obsid,species,colors,time,duration,attempts,Rinter,Rintra,Iinter,Iintra,Notes,Successes,Observer,Sex,birdid
001023Tina,Phleg,s-by,,04:00:00,4,0,0,0,0,,3,KJS,,Ps-by
001026Izua,M. fort,unb,,03:00:00,0,0,0,0,0,,0,SKW,Male,Munb
001026Izua,M. fort,unb,,03:00:00,1,0,0,0,0,,1,SKW,Male,Munb
001026Smaa,Phleg,unb,,04:00:00,3,0,0,0,0,,0,DRH,Unknown,Punb
001102Izua,G. sal,s-oy,,03:04:00,1,0,0,0,0,,1,DRH,Female,Gs-oy
001102Tita,D. mer,unb,,04:00:00,2,0,0,0,0,,1,DRH,Unknown,Dunb
001108Tita,Rheg,r-sr,,04:00:00,3,0,0,0,0,,1,SKW,Male,Rr-sr
001110Cada,D. mer,r-sg,10:30:00,04:00:00,1,0,0,0,1,,0,SKW,Unknown,Dr-sg
001127Edwa,Rheg,gp-s,10:45:00,04:00:00,2,0,1,0,0,disp. by mate,1,DRH,Female,Rgp-s
001127Edwa,Rheg,by-s,1105:00:00,01:20:00,1,0,0,0,0,,1,DRH,Male,Rby-s
001125Lab,Phleg,s-oo,1025:00:00,03:00:00,2,0,0,0,0,,0,ES,Unknown,Ps-oo
001125Lab,Phleg,s-oo,1120:00:00,04:00:00,4,0,0,0,0,,1,ES,Unknown,Ps-oo
001125Lab,Phleg,oo-s,1030:00:00,03:00:00,3,0,0,0,0,,0,ES,Unknown,Poo-s
001125Lab,Phleg,oo-s,1040:00:00,03:00:00,3,0,0,0,0,,1,ES,Unknown,Poo-s
001128Edwa,Rheg,by-s,830:00:00,01:00:00,2,0,0,0,0,,0,SKW,Male,Rby-s
001128Lab,G. sal,go-s,1114:00:00,04:00:00,2,0,0,0,0,,0,SKW,Male,Ggo-s
001128Lab,M. fort,ff-s,1120:00:00,01:30:00,0,0,0,0,0,,0,SKW,Female,Mff-s
001128Lab,M. fort,unb,1125:00:00,02:00:00,3,0,1,0,0,frm mate,3,SKW,Male,Munb
001128Lab,M. fort,ff-s,1134:00:00,04:00:00,0,0,0,0,0,,0,SKW,Female,Mff-s
001128Edw,Phleg,unb,806:00:00,01:50:00,2,0,0,0,0,,1,DRH,Unknown,Punb
001128Edw,G. sal,s-oy,900:00:00,01:55:00,3,2,0,0,0,Rheg,1,DRH,Female,Gs-oy
001128Edw,Rheg,gp-s,905:00:00,04:00:00,6,0,0,0,0,,5,DRH,Female,Rgp-s
001129Lab,Rheg,gp-s,924:00:00,03:20:00,3,0,0,0,0,,1,ES,Female,Rgp-s
001129Lab,G. sal,bw-s,1015:00:00,03:00:00,1,0,0,0,0,,0,ES,Female,Gbw-s
001129Lab,G. sal,bw-s,1054:00:00,04:00:00,2,0,0,0,0,,1,ES,Female,Gbw-s
001201Izu,G. sal,s-oy,825:00:00,03:30:00,7,0,0,0,0,,5,SKW,Female,Gs-oy
001201Izu,G. sal,yy-s,837:00:00,04:00:00,3,0,0,0,0,,1,SH,Male,Gyy-s
001201Izu,G. sal,s-oy,912:00:00,01:20:00,2,0,0,0,0,,1,SKW,Female,Gs-oy
001201Izu,Phleg,unb,924:00:00,03:30:00,2,0,1,0,0,,2,SKW,Unknown,Punb
001201Tin,Phleg,oo-s,1052:00:00,04:00:00,4,0,0,0,0,,1,ES,Unknown,Poo-s
001201Tin,Phleg,s-oo,1110:00:00,02:30:00,2,0,0,0,0,,0,ES,Unknown,Ps-oo
001201Lab,Rheg,gp-s,620:00:00,02:05:00,2,0,0,0,0,,2,ES,Female,Rgp-s
001201Lab,M. fort,g-ys,825:00:00,02:00:00,2,0,0,0,0,,1,ES,Female,Mg-ys
001204Edw,Rheg,gp-s,720:00:00,02:00:00,2,0,0,0,0,,1,ES,Female,Rgp-s
001204Edw,Rheg,gp-s,750:00:00,01:30:00,1,0,0,0,0,,1,ES,Female,Rgp-s
001204Edw,G. sal,yy-s,947:00:00,01:44:00,2,0,0,0,0,,1,ES,Male,Gyy-s
001204Edw,G. sal,yy-s,1054:00:00,01:22:00,2,0,0,0,0,,2,ES,Male,Gyy-s
001204Edw,Phleg,rr-s,850:00:00,03:40:00,4,0,0,0,0,,2,ES,Male,Prr-s
001204Edw,Rheg,gp-s,900:00:00,03:00:00,3,0,0,0,0,,2,ES,Female,Rgp-s
001204Edw,Phleg,unb,1036:00:00,02:56:00,2,0,0,0,0,,1,ES,Unknown,Punb
001202Tin,Phleg,oo-s,700:00:00,03:30:00,0,0,0,0,0,,0,SKW,Unknown,Poo-s
001202Gna,G. sal,unb,953:00:00,01:45:00,2,0,0,0,0,,0,SKW,Male,Gunb
001208Edw,Rheg,gp-s,905:00:00,01:00:00,2,0,0,0,0,,2,ES,Female,Rgp-s
001208Edw,Rheg,gp-s,933:00:00,03:10:00,3,0,0,0,0,,1,ES,Female,Rgp-s
001209Nod,G. sal,s-by,826:00:00,04:00:00,0,0,0,0,0,,0,SKW,Male,Gs-by
001209Nod,Phleg,unb,900:00:00,02:40:00,1,0,0,0,0,,1,SKW,Unknown,Punb
001209Nod,G. sal,rp-s,930:00:00,03:00:00,0,0,0,0,0,,0,SKW,Male,Grp-s
001209Gna,D. mer,wp-s,1045:00:00,03:10:00,0,0,0,0,0,,0,SKW,Female,Dwp-s
001215Lab,Rheg,gp-s,1042:00:00,04:00:00,3,0,0,0,0,,3,SKW,Female,Rgp-s
001216Tin,D. mer,rg-s,956:00:00,01:20:00,2,0,0,0,0,only bird,1,SKW,Female,Drg-s
001219Gna,G. sal,unb,903:00:00,04:00:00,0,3,0,0,0,M.fort,0,SKW,Male,Gunb
001223Gna,M. fort,unb,820:00:00,04:00:00,1,0,0,0,0,,0,SKW,Male,Munb
001213Edw,Rheg,gp-s,855:00:00,03:00:00,3,0,0,0,0,,2,DRH,Female,Rgp-s
001215Stu,M. fort,unb,750:00:00,01:30:00,2,0,0,0,0,,2,DRH,Male,Munb
001216Lab,Rheg,gp-s,910:00:00,04:00:00,5,0,0,0,0,,2,DRH,Female,Rgp-s
001216Lab,Phleg,y-sr,1010:00:00,01:00:00,1,0,0,0,0,,1,DRH,Unknown,Py-sr
001216Lab,Phleg,y-sr,1030:00:00,02:00:00,2,0,0,0,0,,2,DRH,Unknown,Py-sr
001219Izu,Rheg,by-s,1055:00:00,04:00:00,3,0,0,0,0,,2,DRH,Male,Rby-s
001222Izu,G. sal,p-sp,945:00:00,01:30:00,1,0,0,0,0,juv,0,DRH,Female,Gp-sp
001222Izu,Phleg,unb,1007:00:00,03:20:00,1,0,0,0,0,,1,DRH,Unknown,Punb
001226Tit,G. sal,s-pp,700:00:00,01:40:00,3,0,0,0,0,,3,DRH,Female,Gs-pp
001226Tit,Phleg,unb,705:00:00,04:00:00,4,0,0,0,0,,2,DRH,Unknown,Punb
001226Izu,G. sal,s-oy,1037:00:00,02:35:00,3,0,0,0,0,,3,DRH,Female,Gs-oy
001226Izu,D. mer,rg-s,1100:00:00,04:00:00,0,0,0,0,0,,0,DRH,Female,Drg-s
001228Izu,G. sal,p-sp,720:00:00,02:00:00,0,0,0,0,0,juv,0,CETP,Female,Gp-sp
001228Izu,G. sal,p-sp,755:00:00,02:00:00,3,0,0,0,0,,0,CETP,Female,Gp-sp
001228Izu,G. sal,yy-s,759:00:00,05:00:00,3,0,0,0,0,,2,CETP,Male,Gyy-s
