obsid,species,colors,time,duration,attempts,Rinter,Rintra,Iinter,Iintra,Notes,Successes,Observer,Sex,birdid,Colony,Date,Juv,Time of Day
,M. fort,UNB,,01:00:00,1,0,0,0,0,,1,AS,Female,MUNB,Labbie,05/25/2007,,AM
,M. fort,UNB,,03:18:00,1,0,0,0,0,,1,AS,Female,MUNB,Labbie,05/25/2007,,AM
,M. fort,UND,,01:00:00,0,0,0,0,0,,0,AS,Male,MUND,Labbie,05/25/2007,,AM
,M. fort,UNB,,01:20:00,0,0,0,0,0,,0,AS,Male,MUNB,Labbie,02/25/2007,,AM
,M. fort,UNB,,01:05:00,1,0,0,0,0,,1,AS,Male,MUNB,Labbie,02/25/2007,,AM
,M. fort,UNB,,02:12:00,3,0,0,0,0,,2,LC,Female,MUNB,Nelly,05/29/2007,,AM
,M. fort,UNB,,03:30:00,5,0,0,0,0,,o,LC,Female,MUNB,Nelly,05/29/2007,,AM
,M. fort,UNB,,01:38:00,2,0,0,0,0,,0,LC,Male,MUNB,Nelly,05/29/2007,,AM
,M. fort,UNB,,00:40:00,2,0,0,0,0,,2,AS,Male,MUNB,Kathy,05/26/2007,,AM
,M. fort,UNB,,01:05:00,1,0,0,0,0,,1,AS,Male,MUNB,Kathy,05/26/2007,,AM
,M. fort,UNB,,01:00:00,2,0,0,0,0,,0,AS,Male,MUNB,Kathy,05/26/2007,,AM
,M. fort,UNB,,01:00:00,1,0,0,0,0,,1,AS,Male,MUNB,Nelly,05/29/2007,,AM
,M. fort,UNB,,00:20:00,1,0,0,1,0,Replaced Rheg,1,LS,Male,MUNB,Labbie,05/31/2007,,AM
,M. fort,UNB,,01:34:00,3,0,0,0,0,,2,LS,Male,MUNB,Labbie,05/31/2007,,AM
,M. fort,UNB,,01:03:00,0,0,0,0,0,,0,LS,Male,MUNB,Labbie,05/31/2007,,AM
,M. fort,UNB,,01:36:00,0,0,0,0,0,,0,LS,Male,MUNB,Labbie,05/31/2007,,AM
,M. fort,UNB,,01:02:00,0,0,0,0,0,,0,LS,Female,MUNB,Labbie,05/31/2007,,AM
,M. fort,UNB,,02:02:00,3,0,0,0,0,,0,SKW,Male,MUNB,Labbie,05/31/2007,,AM
,M. fort,UMB,,01:59:00,3,0,0,0,0,,1,SKW,Male,MUMB,Labbie,05/31/2007,,AM
,M. fort,UNB,,02:13:00,3,0,0,0,0,,0,SKW,Male,MUNB,Labbie,05/31/2007,,AM
,D. mer,UNB,,01:56:00,0,0,0,0,0,,0,LS,Unknown,DUNB,Judy,05/21/2007,,AM
,D. mer,UNB,,01:49:00,0,1,0,0,0,replaced by  woodcreeper,0,LS,Unknown,DUNB,Judy,05/22/2007,,AM
,D. mer,UNB,,01:09:00,1,0,0,0,0,,0,SKW,Unknown,DUNB,Nelly,05/22/2007,,AM
,D. mer,UNB,,01:45:00,1,0,0,0,0,,1,SKW,Unknown,DUNB,Nelly,05/22/2007,,AM
,D. mer,UNB,,02:38:00,0,0,0,6,0,all to D. ful,0,SKW,Unknown,DUNB,Nelly,05/22/2007,,AM
,D. mer,UNB,,02:16:00,2,0,0,0,1,,1,SKW,Unknown,DUNB,Nelly,05/22/2007,,AM
,D. mer,UNB,,01:14:00,2,0,0,1,0,to d. ful,1,SKW,Unknown,DUNB,Nelly,05/22/2007,,AM
,D. mer,s-pb,,03:18:00,2,0,0,0,0,,2,LS,Unknown,Ds-pb,Chris,05/24/2007,,AM
,D. mer,UNB,,01:09:00,0,0,0,0,0,,0,LS,Unknown,DUNB,Chris,05/24/2007,,AM
,D. mer,UNB,,02:30:00,2,0,0,0,0,,2,AS,Unknown,DUNB,Judy,05/22/2007,,AM
,D. mer,UNB,,01:20:00,4,0,0,0,0,,2,AS,Unknown,DUNB,Chris,05/24/2007,,AM
,D. mer,s-pp,,02:30:00,3,0,0,0,0,,2,AS,Unknown,Ds-pp,Chris,05/24/2007,,AM
,D. mer,UNB,,02:41:00,5,0,1,0,0,,0,SKW,Unknown,DUNB,Chris,05/24/2007,,AM
,D. mer,UNB,,02:14:00,6,0,0,1,0,,3,SKW,Unknown,DUNB,Chris,05/24/2007,,AM
,D. mer,UNB,,01:03:00,1,0,0,0,0,,0,SKW,Unknown,DUNB,Chris,05/24/2007,,AM
,D. mer,s-pb,,02:54:00,0,0,0,1,0,,0,SKW,Unknown,Ds-pb,Chris,05/24/2007,,AM
,D. mer,s-pb,,05:30:00,6,0,0,0,0,,1,SKW,Unknown,Ds-pb,Chris,05/24/2007,,AM
,D. mer,UNB,,02:34:00,2,0,0,0,1,,2,SKW,Unknown,DUNB,Chris,05/24/2007,,PM
,D. mer,s-pb,,02:28:00,2,0,0,0,0,,0,SKW,Unknown,Ds-pb,Chris,05/24/2007,,PM
,D. mer,s-pb,,02:22:00,2,1,0,0,0,,0,SKW,Unknown,Ds-pb,Chris,05/24/2007,,PM
,D. mer,s-pb,,03:00:00,2,0,0,0,0,,2,SKW,Unknown,Ds-pb,Chris,05/24/2007,,PM
,D. mer,unb,,03:23:00,2,0,0,0,0,,1,SKW,Unknown,Dunb,Judy,05/28/2007,,AM
,D. mer,UNB,,03:27:00,2,0,0,0,0,,2,SKW,Unknown,DUNB,Judy,05/28/2007,,AM
,D. mer,UNB`,,02:53:00,0,0,0,0,0,,0,SKW,Unknown,DUNB`,Judy,05/28/2007,,AM
,D. mer,UNB,,02:15:00,1,0,0,0,0,,1,SKW,Unknown,DUNB,Judy,05/28/2007,,AM
,D. mer,UNB,,02:00:00,0,0,0,0,0,,0,SKW,Unknown,DUNB,Judy,05/28/2007,,AM
,D. mer,UNB,,03:00:00,2,0,1,0,0,,1,SKW,Unknown,DUNB,Judy,05/28/2007,,AM
,D. mer,UNB,,01:20:00,2,0,1,0,0,,1,SKW,Unknown,DUNB,Judy,05/28/2007,,AM
,D. mer,UNB,,02:08:00,1,0,1,0,0,,1,SKW,Unknown,DUNB,Judy,05/28/2007,,AM
,D. mer,UNB,,01:43:00,2,0,1,0,0,,1,SKW,Unknown,DUNB,Judy,05/28/2007,,AM
,D. mer,UNB,,04:00:00,1,0,0,0,0,,1,SKW,Unknown,DUNB,Judy,05/28/2007,,AM
,D. mer,UNB,,01:28:00,0,0,0,0,0,,0,LS,Unknown,DUNB,Judy,05/28/2007,,PM
,D. mer,UNB,,01:41:00,0,0,0,0,0,,0,LS,Unknown,DUNB,Judy,05/28/2007,,PM
,D. mer,UNB,,01:57:00,1,1,0,1,0,w/ other spp woodcreeper,1,LS,Unknown,DUNB,Judy,05/28/2007,,PM
,D. mer,UNB,,04:35:00,0,0,0,0,0,,0,SKW,Unknown,DUNB,Nelly,05/29/2007,,AM
,D. mer,UNB,,01:39:00,1,0,0,0,0,,1,SKW,Unknown,DUNB,Nelly,05/29/2007,,AM
,D. mer,UNB,,04:47:00,5,0,1,0,2,,4,AZS,Unknown,DUNB,Kathy,05/25/2007,,AM
,D. mer,UNB,,03:59:00,4,0,0,0,0,,4,AZS,Unknown,DUNB,Kathy,05/25/2007,,AM
,D. mer,UNB,,01:15:00,0,0,0,0,0,,0,AS,Unknown,DUNB,Nelly,05/29/2007,,AM
,D. mer,UNB,,02:02:00,2,0,0,0,0,,2,AZS,Unknown,DUNB,Nelly,05/31/2007,,AM
,D. mer,UNB,,03:43:00,5,0,0,0,0,,3,LC,Unknown,DUNB,Nelly,05/31/2007,,AM
,D. mer,UNB,,01:23:00,2,0,0,0,0,,1,AZS,Unknown,DUNB,Nelly,05/31/2007,,AM
,D. mer,UNB,,03:02:00,2,0,1,0,0,,1,AZS,Unknown,DUNB,Nelly,05/31/2007,,AM
,D. mer,UNB,,01:54:00,3,0,0,0,0,,2,AZS,Unknown,DUNB,Nelly,05/31/2007,,AM
,D. mer,UNB,,02:14:00,3,0,1,0,0,,1,AZS,Unknown,DUNB,Nelly,05/31/2007,,AM
,D. mer,UNB,,03:58:00,3,0,1,0,0,,1,AZS,Unknown,DUNB,Nelly,05/31/2007,,AM
,D. mer,UNB,,02:40:00,2,0,1,0,1,,0,AZS,Unknown,DUNB,Nelly,05/31/2007,,AM
,D. mer,UNB,,04:41:00,15,0,0,0,0,,13,AS,Unknown,DUNB,Nelly,05/31/2007,,AM
,D. mer,UNB,,02:30:00,2,0,0,0,0,,2,AS,Unknown,DUNB,Nelly,05/31/2007,,AM
,D. mer,_-ps,,01:48:00,1,0,0,0,0,,1,AS,Unknown,D_-ps,Nelly,05/31/2007,,AM
,D. mer,UNB,,01:35:00,0,0,0,0,0,,0,AS,Unknown,DUNB,Nelly,05/31/2007,,AM
,D. mer,UNB,,01:02:00,0,0,1,0,1,,0,AS,Unknown,DUNB,Nelly,05/31/2007,,AM
,D. mer,UNB,,02:36:00,3,1,0,0,0,by phleg,1,AZS,Unknown,DUNB,Kathy,06/01/2007,,AM
,D. mer,UNB,,01:03:00,1,0,0,0,0,,1,AS,Unknown,DUNB,Kathy,06/01/2007,,PM
,D. mer,UNB,,01:03:00,0,0,0,0,0,,0,LS,Unknown,DUNB,Judy,06/02/2007,,AM
,D. mer,s-__,,01:06:00,1,0,0,0,0,,1,LS,Unknown,Ds-__,Judy,06/02/2007,,AM
,D. mer,s-yw,,03:10:00,6,0,0,0,0,,2,SKW,Unknown,Ds-yw,Kathy,06/04/2007,,AM
,D. mer,s-yw,,02:24:00,2,1,0,0,0,by Phleg,0,SKW,Unknown,Ds-yw,Kathy,06/04/2007,,AM
,D. mer,s-yw,,02:46:00,2,0,0,0,0,,1,SKW,Unknown,Ds-yw,Kathy,06/04/2007,,AM
,D. mer,s-yw,,01:12:00,2,0,0,0,0,,1,SKW,Unknown,Ds-yw,Kathy,06/04/2007,,AM
,D. mer,s-yw,,01:54:00,1,0,0,0,0,,1,SKW,Unknown,Ds-yw,Kathy,06/04/2007,,AM
,D. mer,s-yw,,01:46:00,0,0,0,0,0,,0,SKW,Unknown,Ds-yw,Kathy,06/04/2007,,AM
,D. mer,UNB,,01:00:00,0,0,0,0,0,,0,AS,Unknown,DUNB,Judy,06/02/2007,,AM
,D. mer,UNB,,01:23:00,1,0,0,0,0,,0,AS,Unknown,DUNB,Judy,06/02/2007,,AM
,D. mer,UNB,,00:43:00,0,1,0,0,1,by Rheg Male,0,AZS,Unknown,DUNB,Judy,06/02/2007,,AM
,D. mer,?,,01:12:00,1,0,0,0,0,,1,AS,Unknown,D?,Kathy,06/04/2007,,AM
,D. mer,s-__,,02:22:00,1,1,0,0,0,by phleg,1,AS,Unknown,Ds-__,Kathy,06/04/2007,,AM
,Rheg,UNB,,00:55:00,2,0,0,0,0,,2,SKW,Male,RUNB,Judy,05/17/2007,,AM
,Rheg,UNB,,02:55:00,4,0,0,0,0,,1,SKW,Female,RUNB,Judy,05/21/2007,,AM
,Rheg,UNB,,05:35:00,3,0,0,0,0,,2,SKW,Female,RUNB,Judy,05/21/2007,,AM
,Rheg,UNB,,01:22:00,2,0,0,0,0,,0,LS,Female,RUNB,Judy,05/22/2007,,AM
,Rheg,yp-s,,03:07:00,5,0,0,0,0,,3,LS,Female,Ryp-s,Judy,05/22/2007,,AM
,Rheg,unb,,02:00:00,6,0,0,0,0,,4,LS,Male,Runb,Judy,05/22/2007,,AM
,Rheg,unb,,01:15:00,2,0,1,0,0,by rheg yp-s,2,LS,Male,Runb,Judy,05/22/2007,,AM
,Rheg,unb,,03:31:00,6,0,0,0,0,,5,LS,Male,Runb,Judy,05/22/2007,,AM
,M. fort,unb,,02:23:00,4,0,0,0,0,,1,,Male,Munb,Chris,06/06/2007,,PM
,M. fort,unb,,01:03:00,0,0,0,1,0,rheg,0,,Male,Munb,Chris,06/06/2007,,PM
,D. mer,unb,,02:10:00,2,0,0,0,0,,1,LC,Unknown,Dunb,Judy,06/05/2007,,PM
,D. mer,unb,,01:05:00,1,1,0,0,0,by rheg,1,,Unknown,Dunb,Nelly,06/06/2007,,AM
,D. mer,unb,,01:03:00,1,0,0,0,0,,1,,Unknown,Dunb,Nelly,06/06/2007,,AM
