obsid,species,colors,time,duration,attempts,Rinter,Rintra,Iinter,Iintra,Notes,Successes,Observer,Sex,birdid,Colony,Date,Juv,Time of Day
,M. fort,UNB,,1:00:00,1,0,0,0,0,,1,AS,Female,MUNB,Labbie,5/25/07,,AM
,M. fort,UNB,,3:18:00,1,0,0,0,0,,1,AS,Female,MUNB,Labbie,5/25/07,,AM
,M. fort,UND,,1:00:00,0,0,0,0,0,,0,AS,Male,MUND,Labbie,5/25/07,,AM
,M. fort,UNB,,1:20:00,0,0,0,0,0,,0,AS,Male,MUNB,Labbie,2/25/07,,AM
,M. fort,UNB,,1:05:00,1,0,0,0,0,,1,AS,Male,MUNB,Labbie,2/25/07,,AM
,M. fort,UNB,,2:12:00,3,0,0,0,0,,2,LC,Female,MUNB,Nelly,5/29/07,,AM
,M. fort,UNB,,3:30:00,5,0,0,0,0,,o,LC,Female,MUNB,Nelly,5/29/07,,AM
,M. fort,UNB,,1:38:00,2,0,0,0,0,,0,LC,Male,MUNB,Nelly,5/29/07,,AM
,M. fort,UNB,,0:40:00,2,0,0,0,0,,2,AS,Male,MUNB,Kathy,5/26/07,,AM
,M. fort,UNB,,1:05:00,1,0,0,0,0,,1,AS,Male,MUNB,Kathy,5/26/07,,AM
,M. fort,UNB,,1:00:00,2,0,0,0,0,,0,AS,Male,MUNB,Kathy,5/26/07,,AM
,M. fort,UNB,,1:00:00,1,0,0,0,0,,1,AS,Male,MUNB,Nelly,5/29/07,,AM
,M. fort,UNB,,0:20:00,1,0,0,1,0,Replaced Rheg,1,LS,Male,MUNB,Labbie,5/31/07,,AM
,M. fort,UNB,,1:34:00,3,0,0,0,0,,2,LS,Male,MUNB,Labbie,5/31/07,,AM
,M. fort,UNB,,1:03:00,0,0,0,0,0,,0,LS,Male,MUNB,Labbie,5/31/07,,AM
,M. fort,UNB,,1:36:00,0,0,0,0,0,,0,LS,Male,MUNB,Labbie,5/31/07,,AM
,M. fort,UNB,,1:02:00,0,0,0,0,0,,0,LS,Female,MUNB,Labbie,5/31/07,,AM
,M. fort,UNB,,2:02:00,3,0,0,0,0,,0,SKW,Male,MUNB,Labbie,5/31/07,,AM
,M. fort,UMB,,1:59:00,3,0,0,0,0,,1,SKW,Male,MUMB,Labbie,5/31/07,,AM
,M. fort,UNB,,2:13:00,3,0,0,0,0,,0,SKW,Male,MUNB,Labbie,5/31/07,,AM
,D. mer,UNB,,1:56:00,0,0,0,0,0,,0,LS,Unknown,DUNB,Judy,5/21/07,,AM
,D. mer,UNB,,1:49:00,0,1,0,0,0,replaced by  woodcreeper,0,LS,Unknown,DUNB,Judy,5/22/07,,AM
